wiki_lang,domain,count
en,books.google.com,13663
en,archive.org,12600
en,nytimes.com,3868
en,theguardian.com,3013
en,news.bbc.co.uk,2632
en,bbc.co.uk,2527
es,archive.org,2572
es,books.google.es,925
es,books.google.com,879
es,allmusic.com,699
es,elpais.com,683
es,billboard.com,536
fr,statsf1.com,1918
fr,web.archive.org,1010
fr,insee.fr,664
fr,ign.com,654
fr,grandprix.com,644
fr,jeuxvideo.com,541
pt,billboard.com,2020
pt,books.google.com,1901
pt,web.archive.org,1580
pt,nytimes.com,995
pt,g1.globo.com,986
pt,mtv.com,878
